jobType,jobNo,職務名稱,jobNameSnippet,jobRole,jobRo,jobAddrNo,工作地點,詳細地址,工作內容,學歷,period,工作經歷,applyCnt,應徵人數,custNo,公司名稱,coIndustry,產業描述,salaryLow,salaryHigh,待遇,s10,發布日期,appearDateDesc,optionZone,isApply,applyDate,isSave,descSnippet,tags,landmark,網頁連結,jobsource,jobNameRaw,custNameRaw,lon,lat,remoteWorkType,major
1,8299084,CRD 手機遊戲工程師【歡迎應屆畢業生】,CRD 手機遊戲工程師【歡迎應屆畢業生】,1,1,6001001001,台北市中正區,羅斯福路二段100號10樓,"1. 使用Cocos開發遊戲(無經驗可)
2. 使用JavaScript語言
3. 維護現有的遊戲並開發新功能

【必備專業條件】
1.熟JavaScript語法
(面試包含 JavaScript測驗，上機考時間約20分鐘)

【加分條件】
1.熟 iOS &amp; Android 者佳
2.熟 C++ 者佳

★想要更加了解慧邦科技嗎？歡迎到gamesofa careers看看！
https://www.facebook.com/GamesofaCareers/",專科,00,不拘,00009,6~10人應徵,27767168000,慧邦科技股份有限公司,,,0000000,0000000,待遇面議,10,20220926,9/26,4096,0,,0,"1. 使用Cocos開發遊戲(無經驗可)
2. 使用JavaScript語言
3. 維護現有的遊戲並開發新功能

【必備專業條件】
1.熟JavaScript語法
(面試包含 JavaScript測驗，上機考時間約20分鐘)

【加分條件】
1.熟 iOS &amp; Android 者佳
2.熟 C++ 者佳

★想要更加了解慧邦科技嗎？歡迎到gamesofa careers看看！
https://www.facebook.com/GamesofaCareers/",['員工200人'],距捷運古亭站50公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/4xvm4?channel=104rpt&jobsource=hotjob_chr', 'job': '//www.104.com.tw/job/4xvm4?jobsource=hotjob_chr', 'cust': '//www.104.com.tw/company/cr7ury8?jobsource=hotjob_chr'}",hotjob_chr,CRD 手機遊戲工程師【歡迎應屆畢業生】,慧邦科技股份有限公司,121.5223326,25.0267506,0,"['資訊工程相關', '數學及電算機科學學科類', '電機電子工程相關']"
1,11867437,RD 網頁/PHP工程師【歡迎應屆畢業生】,RD 網頁/PHP工程師【歡迎應屆畢業生】,1,1,6001001001,台北市中正區,羅斯福路二段100號10樓,"開發web/手機遊戲
－ 遊戲功能開發
－ 活動開發及官網維護
－ 資料庫操作及數據處理

【應徵條件】
－ 熟悉 PHP/JavaScript/C/Java/Python 任一皆可
－ 熟悉 任一SQL

★想要更加了解慧邦科技嗎？歡迎到gamesofa careers看看！
https://www.facebook.com/GamesofaCareers/",專科,00,不拘,00025,11~30人應徵,27767168000,慧邦科技股份有限公司,,,0000000,0000000,待遇面議,10,20220926,9/26,4096,0,,0,"開發web/手機遊戲
－ 遊戲功能開發
－ 活動開發及官網維護
－ 資料庫操作及數據處理

【應徵條件】
－ 熟悉 PHP/JavaScript/C/Java/Python 任一皆可
－ 熟悉 任一SQL

★想要更加了解慧邦科技嗎？歡迎到gamesofa careers看看！
https://www.facebook.com/GamesofaCareers/",['員工200人'],距捷運古亭站50公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/72cz1?channel=104rpt&jobsource=hotjob_chr', 'job': '//www.104.com.tw/job/72cz1?jobsource=hotjob_chr', 'cust': '//www.104.com.tw/company/cr7ury8?jobsource=hotjob_chr'}",hotjob_chr,RD 網頁/PHP工程師【歡迎應屆畢業生】,慧邦科技股份有限公司,121.5223326,25.0267506,0,"['資訊工程相關', '資訊管理相關', '其他數學及電算機科學相關']"
1,13034928,C程式設計人員,C程式設計人員,1,1,6001001001,台北市中正區,或新北市板橋區,"※必備資格條件：
教育部認可之大學(含)以上資訊相關系所畢業。
※具下列資格條件者尤佳：
1.熟悉Linux作業系統環境之C程式設計。
2.熟悉Linux作業系統及Shell Script。",大學,00,不拘,00001,0~5人應徵,92002238000,財團法人中華民國證券櫃檯買賣中心,,,0000000,0000000,待遇面議,10,20220922,9/22,0,0,,0,"※必備資格條件：
教育部認可之大學(含)以上資訊相關系所畢業。
※具下列資格條件者尤佳：
1.熟悉Linux作業系統環境之C程式設計。
2.熟悉Linux作業系統及Shell Script。",['員工290人'],,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7rdtc?channel=104rpt&jobsource=hotjob_chr', 'job': '//www.104.com.tw/job/7rdtc?jobsource=hotjob_chr', 'cust': '//www.104.com.tw/company/169jr968?jobsource=hotjob_chr'}",hotjob_chr,C程式設計人員,財團法人中華民國證券櫃檯買賣中心,121.5198716,25.0421407,0,['資訊管理相關']
1,13034934,C#程式設計人員,C#程式設計人員,1,1,6001001001,台北市中正區,或新北市板橋區,"※必備資格條件：
教育部認可之大學(含)以上資訊相關系所畢業。
※具下列資格條件者尤佳：
1.熟悉Oracle資料庫程式設計。
2.熟悉C#程式設計。
3.具專案負責人經驗。",大學,00,不拘,00001,0~5人應徵,92002238000,財團法人中華民國證券櫃檯買賣中心,,,0000000,0000000,待遇面議,10,20220922,9/22,0,0,,0,"※必備資格條件：
教育部認可之大學(含)以上資訊相關系所畢業。
※具下列資格條件者尤佳：
1.熟悉Oracle資料庫程式設計。
2.熟悉C#程式設計。
3.具專案負責人經驗。",['員工290人'],,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7rdti?channel=104rpt&jobsource=hotjob_chr', 'job': '//www.104.com.tw/job/7rdti?jobsource=hotjob_chr', 'cust': '//www.104.com.tw/company/169jr968?jobsource=hotjob_chr'}",hotjob_chr,C#程式設計人員,財團法人中華民國證券櫃檯買賣中心,121.5198716,25.0421407,0,['資訊管理相關']
0,12376125,軟體工程師 Software Engineer- Embedded System,<em class='b-txt--highlight'>軟體工程師</em> <em class='b-txt--highlight'>Software</em> <em class='b-txt--highlight'>Engineer</em>- Embedded System,1,1,6001001001,台北市中正區,杭州南路一段15-1號10樓之一,"【Job Description】  
1. Develop Low latency Trading [[[Software]]]/Firmware 
2. Develop FPGA Co-simulation Program (Networking/",大學,00,不拘,00004,0~5人應徵,130000000098433,威旭資訊有限公司,1001001002,電腦軟體服務業,0075000,0100000,"月薪75,000~100,000元",50,20220922,9/22,0,0,,0,"【Job Description】  
1. Develop Low latency Trading <em class='b-txt--highlight'>Software</em>/Firmware 
2. Develop FPGA Co-simulation Program (Networking/",['員工60人'],距捷運善導寺站410公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7d9h9?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7d9h9?jobsource=jolist_a_relevance', 'cust': '//www.104.com.tw/company/1a2x6bk39d?jobsource=jolist_a_relevance'}",jolist_a_relevance,軟體工程師 Software Engineer- Embedded System,威旭資訊有限公司,121.5267675,25.0427628,0,"['電機電子工程相關', '資訊工程相關']"
0,12558450,加密貨幣軟體工程師 Cryptocurrency Software Engineer,加密貨幣<em class='b-txt--highlight'>軟體工程師</em> Cryptocurrency <em class='b-txt--highlight'>Software</em> <em class='b-txt--highlight'>Engineer</em>,1,1,6001001001,台北市中正區,杭州南路一段15-1號10樓之一,"威旭資訊的數據組正在招募一位負責加密貨幣 Cryptocurrency 專案的[[[軟體工程師]]]。你會負責收集加密貨幣相關數據及協助交易員研發相關程式。

VICI Holdings 威旭資訊是一間專注於高頻交易、造市及套利交易的公司，我們進行量化研究並",大學,00,不拘,00004,0~5人應徵,130000000098433,威旭資訊有限公司,1001001002,電腦軟體服務業,0000000,0000000,待遇面議,10,20220922,9/22,0,0,,0,"威旭資訊的數據組正在招募一位負責加密貨幣 Cryptocurrency 專案的<em class='b-txt--highlight'>軟體工程師</em>。你會負責收集加密貨幣相關數據及協助交易員研發相關程式。

VICI Holdings 威旭資訊是一間專注於高頻交易、造市及套利交易的公司，我們進行量化研究並",['員工60人'],距捷運善導寺站410公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7h65u?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7h65u?jobsource=jolist_a_relevance', 'cust': '//www.104.com.tw/company/1a2x6bk39d?jobsource=jolist_a_relevance'}",jolist_a_relevance,加密貨幣軟體工程師 Cryptocurrency Software Engineer,威旭資訊有限公司,121.5267675,25.0427628,0,[]
0,12561969,"軟體工程師-交易組 Software Engineer, C++","<em class='b-txt--highlight'>軟體工程師</em>-交易組 <em class='b-txt--highlight'>Software</em> <em class='b-txt--highlight'>Engineer</em>, C++",1,1,6001001001,台北市中正區,杭州南路ㄧ段15-1號10樓之ㄧ,VICI Holdings 威旭資訊是一間專注於高頻交易、造市及套利交易的公司，我們進行量化研究並追求更好的交易策略。擁有領先全台的[[[軟體]]]研發團隊，並具備華爾街等級的FPGA設計技術，據此打造低延遲全自動交易系統；同時，交易策略橫跨股票、期貨及衍生,大學,00,不拘,00004,0~5人應徵,130000000098433,威旭資訊有限公司,1001001002,電腦軟體服務業,0075000,0100000,"月薪75,000~100,000元",50,20220922,9/22,0,0,,0,VICI Holdings 威旭資訊是一間專注於高頻交易、造市及套利交易的公司，我們進行量化研究並追求更好的交易策略。擁有領先全台的<em class='b-txt--highlight'>軟體</em>研發團隊，並具備華爾街等級的FPGA設計技術，據此打造低延遲全自動交易系統；同時，交易策略橫跨股票、期貨及衍生,['員工60人'],距捷運善導寺站410公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7h8vl?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7h8vl?jobsource=jolist_a_relevance', 'cust': '//www.104.com.tw/company/1a2x6bk39d?jobsource=jolist_a_relevance'}",jolist_a_relevance,"軟體工程師-交易組 Software Engineer, C++",威旭資訊有限公司,121.5267675,25.0427628,0,['資訊工程相關']
0,6288670,軟體工程師(II),<em class='b-txt--highlight'>軟體工程師</em>(II),1,1,6001001001,台北市中正區,博愛路76號3樓,熟JavaScript 及 SQL DB， 無經驗可，歡迎有電子表單開發經驗者，歡迎具團隊精神，肯學習，負責任，願意投入[[[軟體]]]產業的有志之士，能接受挑戰者。,專科,00,不拘,00008,6~10人應徵,29059991000,甘霖有限公司,1001001002,電腦軟體服務業,0026000,0040000,"月薪26,000~40,000元",50,20220926,9/26,0,0,,0,熟JavaScript 及 SQL DB， 無經驗可，歡迎有電子表單開發經驗者，歡迎具團隊精神，肯學習，負責任，願意投入<em class='b-txt--highlight'>軟體</em>產業的有志之士，能接受挑戰者。,[],距捷運西門站410公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/3qsda?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/3qsda?jobsource=jolist_a_relevance', 'cust': '//www.104.com.tw/company/dclkgk8?jobsource=jolist_a_relevance'}",jolist_a_relevance,軟體工程師(II),甘霖有限公司,121.511328,25.0446759,0,[]
0,12938528,"軟體工程師-Infra Team Software Engineer, C++","<em class='b-txt--highlight'>軟體工程師</em>-Infra Team <em class='b-txt--highlight'>Software</em> <em class='b-txt--highlight'>Engineer</em>, C++",1,1,6001001001,台北市中正區,杭州南路ㄧ段15-1號10樓之ㄧ,VICI Holdings 威旭資訊是一間專注於高頻交易、造市及套利交易的公司，我們進行量化研究並追求更好的交易策略。擁有領先全台的[[[軟體]]]研發團隊，並具備華爾街等級的FPGA設計技術，據此打造低延遲全自動交易系統；同時，交易策略橫跨股票、期貨及衍生,大學,00,不拘,00003,0~5人應徵,130000000098433,威旭資訊有限公司,1001001002,電腦軟體服務業,0075000,0100000,"月薪75,000~100,000元",50,20220921,9/21,0,0,,0,VICI Holdings 威旭資訊是一間專注於高頻交易、造市及套利交易的公司，我們進行量化研究並追求更好的交易策略。擁有領先全台的<em class='b-txt--highlight'>軟體</em>研發團隊，並具備華爾街等級的FPGA設計技術，據此打造低延遲全自動交易系統；同時，交易策略橫跨股票、期貨及衍生,['員工60人'],,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7pbfk?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7pbfk?jobsource=jolist_a_relevance', 'cust': '//www.104.com.tw/company/1a2x6bk39d?jobsource=jolist_a_relevance'}",jolist_a_relevance,"軟體工程師-Infra Team Software Engineer, C++",威旭資訊有限公司,121.5255685,25.0395453,0,['資訊工程相關']
0,11229061,助理軟體工程師,助理<em class='b-txt--highlight'>軟體工程師</em>,1,1,6001001001,台北市中正區,衡陽路10號7樓,"1.熟悉MS SQL。
2.熟悉網路基礎應用。
3.可配合團體任務分配及個人任務獨立執行。
4.有資訊相關證照者尤佳。
5.配合系統上線客戶端駐點。


[必備專業需求]
ASP.NET C# 
MS SQL Server，具備一定的T-SQL基礎
物件導向程式設計
了解API概念 
 
[加分專業需求]
程式語言：熟悉C#
單元測試：熟悉Unit Test，自動化測試。 

[希望您具備] 
掌握程式碼品質及可維護性 
具良好溝通表達能力，解決問題的熱情與獨立思考能力
良好的團隊協作能力 
自我學習能力與對新技術的求知慾 
",不拘,00,不拘,00012,11~30人應徵,16753217000,英福達科技股份有限公司,1001001002,電腦軟體服務業,0036000,0048000,"月薪36,000~48,000元",50,20220922,9/22,0,0,,0,"1.熟悉MS SQL。
2.熟悉網路基礎應用。
3.可配合團體任務分配及個人任務獨立執行。
4.有資訊相關證照者尤佳。
5.配合系統上線客戶端駐點。


[必備專業需求]
ASP.NET C# 
MS SQL Server，具備一定的T-SQL基礎
物件導向程式設計
了解API概念 
 
[加分專業需求]
程式語言：熟悉C#
單元測試：熟悉Unit Test，自動化測試。 

[希望您具備] 
掌握程式碼品質及可維護性 
具良好溝通表達能力，解決問題的熱情與獨立思考能力
良好的團隊協作能力 
自我學習能力與對新技術的求知慾 
",['員工50人'],距捷運台大醫院站260公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/6ooed?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/6ooed?jobsource=jolist_a_relevance', 'cust': '//www.104.com.tw/company/7p2fkyw?jobsource=jolist_a_relevance'}",jolist_a_relevance,助理軟體工程師,英福達科技股份有限公司,121.513701,25.0422554,0,"['資訊工程相關', '資訊管理相關']"
